0,sex,leg length in m,Mass in Kg, vmax in ms^-1?,recorded walking in ms^-1?,Froude number,normal-speed mean maximum pelvic tilt angle,fast-speed mean maximum pelvic tilt angle
94,Male,0.89,51.00,2.95,1.14,0.15,15.5,17.54
95,Male ,1.11,68.00,2.97133452,1.15,0.1215756573,10.19,13.36
96,Male,1.12,81.00,2.958039892,1.46,0.1942055394,10.30,17.45
97,Male ,1.07,71.70,3.24,1.75,0.2917583622,7.23,11.29
98,Female,0.99,58.06,3.11,1.87,0.3600634273,6.16,8.92
99,Female,1.04,56.69,3.19,1.76,0.3036148357,12.23,13.41
100,Female,1.00,58.51,3.13,1.95,0.3876146789,10.48,13.07
101,Female,1.02,58.96,3.16,1.54,0.2370130519,6.84,9.60
102,Male,1.10,74.84,3.28,1.13,0.1183300899,5.39,11.66
103,Male,1.01,73.48,3.15,1.71,0.2951221728,4.95,19.15
104,Male,1.00,78.97,3.13,1.25,0.50,9.29,13.38
105,Female,0.97,54.43,3.08,1.00,0.32,8.31,7.57
106,Male,1.06,74.84,3.22,1.25,0.48,12.20,16.21
107,Male,1.10,81.65,3.28,1.25,0.48,7.87,17.31
108,Male ,1.09,99.79,3.27,1.17,0.13,16.33,18.79
109,Female,0.88,58.97,1.45,1.21,0.1695973496,10.71,12.15
110,Female,1.04,68.04,1.50,1.33,0.1733807732,6.53,7.22
111,Male,1.05,74.84,3.21,1.05,0.107,,
112,Male,1.04,65.77,3.19,1.01,0.099,,
113,Female,0.92,53.52,3.00,1.04,0.113,,
114,Male,1.01,59.87,3.15,1.47,0.218,13.19,9.27
115,Female,0.96,49.90,3.07,1.58,0.265,18.43,9.09
116,Male,1.065,97.5,3.23,1.43,0.1957,19.855,22.98
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
